id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7460546921292956438,2025-01-16 16:13:12,richtig ,32,0,7460541760763186465,7460541760763186465,positive
7461141003165057814,2025-01-18 06:39:23,Dem ist nichts hinzuzufügen   ,24,0,7460541760763186465,7460541760763186465,neutral
7461175038205625110,2025-01-18 08:50:36, WER hat eigentlich das Problem ab 2015 verursacht   ach ja die Merkel CDU mit Wir schaffen das,19,0,7460541760763186465,7460541760763186465,negative
7461185296001123094,2025-01-18 09:30:23,Alice für Deutschland  ,14,0,7460541760763186465,7460541760763186465,positive
7460782966193914646,2025-01-17 07:29:47,genauso ist es,14,0,7460541760763186465,7460541760763186465,neutral
7461239953025401622,2025-01-18 13:02:30,weg mit den alt Parteien,12,0,7460541760763186465,7460541760763186465,neutral
7461236037014192918,2025-01-18 12:47:35,ohjeohje nur noch ,10,0,7460541760763186465,7460541760763186465,negative
7461310366474797846,2025-01-18 17:35:47,Es reicht weg mit diesen alt Parteien,9,0,7460541760763186465,7460541760763186465,neutral
7460748578504868630,2025-01-17 05:17:39,,9,0,7460541760763186465,7460541760763186465,negative
7460851470306083606,2025-01-17 11:55:18,So ist es,7,0,7460541760763186465,7460541760763186465,negative
7460549184463373078,2025-01-16 16:21:46,,6,0,7460541760763186465,7460541760763186465,negative
7460545264341517078,2025-01-16 16:06:46,,6,0,7460541760763186465,7460541760763186465,negative
7461206485243052822,2025-01-18 10:52:30,Die CDU hat uns in diese Situation gebracht Bundesländer regieren mit den Grünen Wir sind als arbeitendes Volk zum Freiwild im eigenen Land erklärt ,5,0,7460541760763186465,7460541760763186465,positive
7460789731184345858,2025-01-17 07:56:24,,5,0,7460541760763186465,7460541760763186465,negative
7460763491914613526,2025-01-17 06:14:10,,5,0,7460541760763186465,7460541760763186465,negative
7460750804590478102,2025-01-17 05:26:45,Die Altparteien gehören allesamt wegen Hochverrat vor Gericht gestellt,5,1,7460541760763186465,7460541760763186465,neutral
7461578468779262742,2025-01-19 10:56:07,Haben sprunghafte Kriminalität und enorme Kosten nichts mit dem Alltag der Bürger zu tun,4,0,7460541760763186465,7460541760763186465,neutral
7461287558699057942,2025-01-18 16:07:19,jawoll jawoll jawoll,4,0,7460541760763186465,7460541760763186465,negative
7461270809986794262,2025-01-18 15:02:04, Wahre Worte ,4,0,7460541760763186465,7460541760763186465,neutral
7462970526510088982,2025-01-23 05:02:04,da hat sie vollkommen Recht das hat mit dem Leben der Menschen absolut nichts zu tun fragt mal die Bürger in Aschaffenburg wie die das sehen,3,0,7460541760763186465,7460541760763186465,neutral
7462084044589007638,2025-01-20 19:38:03,Alice für Deutschland ,3,0,7460541760763186465,7460541760763186465,positive
7460642675518472962,2025-01-16 22:25:26,Und das ist noch sehr höflich gesagt KGE ist halt eine Frau ohne Abschluss und ohne reale Lebenserfahrung,3,0,7460541760763186465,7460541760763186465,neutral
7469114450626626326,2025-02-08 18:19:40,Blau  ist schlau ,2,0,7460541760763186465,7460541760763186465,negative
7461983418600817430,2025-01-20 13:07:51,Sie ist und bleibt eine Frau ohne jegliche Abschlüsse sowas hat im Bundestag nichts zu suchen und schon garnicht in einer Führungsposition,2,0,7460541760763186465,7460541760763186465,neutral
7461931028102595350,2025-01-20 09:44:51,Du hast so recht nie wieder grün ,2,0,7460541760763186465,7460541760763186465,negative
7461595307957814039,2025-01-19 12:01:25,Ganz zu schweigen von den steuergeldernfür diese bürgergeld Empfänger,2,0,7460541760763186465,7460541760763186465,negative
7461178983880098582,2025-01-18 09:06:05,Da merkt man dass Politiker nicht dort leben wo ihre Schützlinge untergebracht sind,2,0,7460541760763186465,7460541760763186465,neutral
7461158483388646166,2025-01-18 07:46:38,Die weiß doch garnicht was die da sabbelt das ist endlich am 2302 vorbei dann ist die endlich weg und hoffentlich für alle Zeiten ,2,0,7460541760763186465,7460541760763186465,negative
7460802647491707670,2025-01-17 08:46:14,ich kann die Alte nicht mehr ertragenDas gilt für alle Grünen Schwetzer,2,0,7460541760763186465,7460541760763186465,negative
7464861138569102102,2025-01-28 07:14:58,Wie kann man so eine Aussage machen wir die Bürger haben Angst um unseren Familien warum verstehen das viele nicht,1,0,7460541760763186465,7460541760763186465,neutral
7462000664974525206,2025-01-20 14:14:37,Genau so ist esAber GEist doch Realitätsfremd,1,0,7460541760763186465,7460541760763186465,neutral
7461239479635657494,2025-01-18 13:00:50,,1,0,7460541760763186465,7460541760763186465,negative
7461222966622962454,2025-01-18 11:56:44,Die sind doch krank,1,0,7460541760763186465,7460541760763186465,neutral
7461199804343010070,2025-01-18 10:27:08,,1,0,7460541760763186465,7460541760763186465,negative
7461195718675923734,2025-01-18 10:11:21,Die braucht auch keiner Grüne unwählbar,1,0,7460541760763186465,7460541760763186465,negative
7461191355155546902,2025-01-18 09:53:54,Diese Frau ist bald Geschichte,1,0,7460541760763186465,7460541760763186465,neutral
7461184841447588630,2025-01-18 09:28:38,,1,0,7460541760763186465,7460541760763186465,negative
7460993918218912534,2025-01-17 21:07:40,,1,0,7460541760763186465,7460541760763186465,negative
7460903170659943170,2025-01-17 15:15:32,Genau deswegen werde ich in Zukunft die AFD wählen ,1,0,7460541760763186465,7460541760763186465,neutral
7460871213460931350,2025-01-17 13:11:40,,1,0,7460541760763186465,7460541760763186465,negative
7485486714544587542,2025-03-24 21:11:39,Die Grünen leiden nicht 7nter Realitätsverlust die wollen das die Deutschen immer weniger in Deutschland werden das würde schon so oft von der Sekte öffentlich gesagt,0,0,7460541760763186465,7460541760763186465,negative
7467946151697253122,2025-02-05 14:46:03,Alte ist krank,0,0,7460541760763186465,7460541760763186465,negative
7463955460971414294,2025-01-25 20:39:54,Diese Dame ist nicht die hellste Kerze auf der Torte  nehme ich an Ihre antworten sind peinlich,0,0,7460541760763186465,7460541760763186465,neutral
7463785803563434754,2025-01-25 09:41:30,Wieso ist diese Frau immer eingeladen u,0,0,7460541760763186465,7460541760763186465,neutral
7463734937470157590,2025-01-25 06:26:32,Die soll Kartoffeln schälen Das einzige was die kann,0,0,7460541760763186465,7460541760763186465,negative
7462977654128722710,2025-01-23 05:27:02,die wollen das so,0,0,7460541760763186465,7460541760763186465,negative
7462592645127455510,2025-01-22 04:34:34,GE Ist eh unterkomplex,0,0,7460541760763186465,7460541760763186465,negative
7462250420766147330,2025-01-21 06:24:09,Grün  Schwachsinn,0,0,7460541760763186465,7460541760763186465,negative
7462060423937065750,2025-01-20 18:06:10,ich wünsche mirdas im Februar die grünen die 5 Hürde nicht schaffen,0,0,7460541760763186465,7460541760763186465,negative
7462040676797137686,2025-01-20 16:49:32,messerstecher und Massen Vergewaltigung nicht vergessen,0,0,7460541760763186465,7460541760763186465,negative
7461649650358190870,2025-01-19 15:32:10,fair,0,0,7460541760763186465,7460541760763186465,positive
7461418337920467734,2025-01-19 00:36:21,Realitätsfremd Taub und Blind Fanatisch,2,0,7460541760763186465,7460541760763186465,negative
7461380526378730262,2025-01-18 22:08:13,Und sie verlogener Versager warum machen sie nicht gegen die Migration sie hätten jetzt die Möglichkeit dafür,0,0,7460541760763186465,7460541760763186465,neutral
7461327436933071648,2025-01-18 18:41:30,Noch können wir den Wahnsinn stoppen was muss denn noch alles passieren Wenn Ihr wirklich was ändern wollt redet mit euren Freunden seid schlau wählt blau,0,0,7460541760763186465,7460541760763186465,negative
7461309423392457494,2025-01-18 17:32:21,Und deshalb ist die einzig wahre Partei die AfD,0,0,7460541760763186465,7460541760763186465,neutral
7461301547433280278,2025-01-18 17:01:45,Die Altparteien leben alle in einer Traumwelt und haben eine andere Realität ,0,0,7460541760763186465,7460541760763186465,neutral
7461298318259274518,2025-01-18 16:49:08,Total verpeilt die Dame,0,0,7460541760763186465,7460541760763186465,negative
7461287536301359894,2025-01-18 16:07:13,,0,0,7460541760763186465,7460541760763186465,negative
7461258960194372374,2025-01-18 14:16:41,,0,0,7460541760763186465,7460541760763186465,negative
7461252619567416086,2025-01-18 13:51:34,Trulla hat wahrscheinlich in ihrer Blase nichts damit zu tun,0,0,7460541760763186465,7460541760763186465,neutral
7461249512221180694,2025-01-18 13:39:24,,0,0,7460541760763186465,7460541760763186465,negative
7461248742415467286,2025-01-18 13:36:25,,0,0,7460541760763186465,7460541760763186465,negative
