id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7458651671662707478,2025-01-11 13:39:05,,1,0,7456488824009395478,7456488824009395478,negative,,"['🖤', '🖤', '🖤', '🖤', '🖤', '🖤']"
7458651634962793238,2025-01-11 13:39:03,Merz machts ,1,0,7456488824009395478,7456488824009395478,positive,,"['🖤', '🖤', '🖤', '👍🏻']"
7457425967981642516,2025-01-08 06:21:48,hello my friends,1,0,7456488824009395478,7456488824009395478,positive,,[]
7456490414846624534,2025-01-05 17:51:18,CDU unwählbar ,1,0,7456488824009395478,7456488824009395478,negative,1.0,['👍']
7461709238950494999,2025-01-19 19:23:32,"und was haben sie so politisch zu bieten
Offensichtlich Nichts ",0,0,7456488824009395478,7456488824009395478,negative,1.0,['😂']
7456686764275942166,2025-01-06 06:33:43,,1,0,7455627925237353750,7455627925237353750,negative,,['🖤']
7465438513452270358,2025-01-29 20:35:06,Man hat kaum etwas darüber in den Medien gelesen,0,0,7465345144875748630,7465345144875748630,negative,,[]
7465356064558088982,2025-01-29 15:15:06,Sicherheitspolitik ist nicht so das Steckenpferd der CDU wenn man bedenkt das Herr Merz Taurus liefern will Wirtschaft ist auch son Ding wenn Grün dabei ist ,1,0,7465345144875748630,7465345144875748630,negative,1.0,['😉']
7464904188821439254,2025-01-28 10:01:59,Ja ne wird nicht passieren bei der cdu deshalb Afd,13,3,7464901879747677462,7464901879747677462,negative,1.0,['😉']
7467281477522522902,2025-02-03 19:46:31,"
Kopieren von der AFD",7,1,7464901879747677462,7464901879747677462,negative,1.0,"['😂', '😂', '😂']"
7464905476518937366,2025-01-28 10:06:58,Jetzt auf einmal kurz vor den Wahlen Komisch komisch,7,0,7464901879747677462,7464901879747677462,negative,,[]
7464905639593001750,2025-01-28 10:07:20,War es nicht die CDU die Büchse der Pandora geöffnet hat  Ihr hattet die Möglichkeit das zu beenden habt aber nichts dagegen unternommen,6,0,7464901879747677462,7464901879747677462,negative,,[]
7473417122422129410,2025-02-20 08:36:11,,2,0,7464901879747677462,7464901879747677462,negative,,"['🖤', '🖤', '🖤', '🖤']"
7466497313316389654,2025-02-01 17:03:52,"
Nur Merz und CDUCSU",2,0,7464901879747677462,7464901879747677462,negative,0.8,"['🖤', '🖤', '🖤', '👍', '💪', '👏', '🔥', '💯', '🖤', '🖤', '🖤', '🖤', '🖤', '🖤']"
7464924845197853462,2025-01-28 11:21:46,Klingt vernünftig Deshalb AfD und nicht die die jetzt versuchen auf diesen Zug aufzuspringen,2,0,7464901879747677462,7464901879747677462,negative,,[]
7464911205975622422,2025-01-28 10:28:52,die letzten 10 Jahre ist doch auch nichts passiert warum sollte das jetzt anders sein,2,0,7464901879747677462,7464901879747677462,negative,,[]
7464906930051908374,2025-01-28 10:13:11,"Wie glaubhaft eure Wahlversprechen sind
Ihr wollt nur eure Posten behalten",2,0,7464901879747677462,7464901879747677462,negative,,[]
7468949259934335766,2025-02-08 07:38:35,Wo ein Wille ist da ist ein Weg Und die Unionsparteien haben immer wieder deutlich gemacht Da ist kein Wille vorhanden Und Wer allen Ernstes mit den Ministern von Rot und Grün regieren möchte ,1,0,7464901879747677462,7464901879747677462,neutral,,[]
7467401149403775766,2025-02-04 03:37:31,Nur CDU und Merz ,1,0,7464901879747677462,7464901879747677462,negative,,"['❤️', '❤️', '❤️', '❤️']"
7467244306027496214,2025-02-03 17:22:27,Hj Thomas grüße aus Teneriffa ,1,0,7464901879747677462,7464901879747677462,positive,1.0,['👍']
7466521638771770134,2025-02-01 18:37:47,,1,0,7464901879747677462,7464901879747677462,negative,,"['🖤', '🖤', '🖤', '🖤', '🖤', '🖤', '🖤']"
7464905831573488386,2025-01-28 10:08:51,"Auf gar keinen Fall
Deswegen im Februar die Linke",1,4,7464901879747677462,7464901879747677462,negative,0.0,['🔥']
7469653061029823255,2025-02-10 05:11:56,unwählbar,0,0,7464901879747677462,7464901879747677462,negative,,[]
7469524643990422294,2025-02-09 20:51:13,"Nichts ändert sich mit der CDU
Von der Leyen ist CDU und fährt in der EU ihren Kurs weiter so",0,0,7464901879747677462,7464901879747677462,neutral,,[]
7468728947883705110,2025-02-07 17:23:32,das ihr nichts ändern werdet kann man an dem Abstimmungsdebakel voriger Woche ganz gut vorhersehen,0,0,7464901879747677462,7464901879747677462,negative,,[]
7467436127696683798,2025-02-04 05:47:48,Verkehrspolitischer SprecherSagt allesgibt dann genauso ein Debakel wie die Maut,0,0,7464901879747677462,7464901879747677462,neutral,,"['🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']"
7464907491281748758,2025-01-28 10:14:28,,0,0,7464901879747677462,7464901879747677462,negative,,['🤔']
7463506593163526934,2025-01-24 15:38:13,Große Töne spucken und trotzdem wird sich nichts ändern Volksverräter bleibt Volksverräter,1,0,7463478371717106966,7463478371717106966,neutral,,[]
7463504088232739606,2025-01-24 15:28:27,CDU ist kein alternative sie ist schuld an den ganzen Desaster ,1,0,7463478371717106966,7463478371717106966,negative,,[]
7472062680921080598,2025-02-16 16:59:49,"
Nur mit Merz und CDUCSU wird Deutschland wieder in eine erfolgreiche Zukunft geführt Deshalb für einen Politikwechsel beide Stimmen für CDU oder CSU",0,0,7463478371717106966,7463478371717106966,neutral,0.8,"['🖤', '🖤', '🖤', '👍', '💪', '👏', '🙏', '🔥', '🖤', '🖤', '🖤', '🖤', '🖤', '🖤']"
7467631088229483287,2025-02-04 18:23:07,,1,0,7467610974414114071,7467610974414114071,negative,0.0,['🔥']
