id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7460921708787630870,2025-01-17 16:27:34,Genau deshalb für mich Frau weidel ,17,0,7460911353809734934,7460911353809734934,positive,1.0,['💙']
7460922625415856918,2025-01-17 16:31:27,die farbe des mantels passt schon mal genau blau wählen ,9,0,7460911353809734934,7460911353809734934,positive,1.0,"['😅', '🤗', '💙', '👍']"
7460912764330017558,2025-01-17 15:53:04,Polen hat schon lange die Grenzen dicht gemacht es zählt zu den sichersten Ländern Europas ,5,0,7460911353809734934,7460911353809734934,neutral,,"['🇵🇱', '✝️', '🤲🏼']"
7460939567576384278,2025-01-17 17:36:54,Das einzige was passt ist die Faebe des Mantels alles andere wurde abgeschrieben,4,0,7460911353809734934,7460911353809734934,negative,,[]
7460913026909815574,2025-01-17 15:53:54,Deutsche Politiker haben lange Jahre geschlafen und die meisten sind stur im Kopf ,4,0,7460911353809734934,7460911353809734934,negative,,['\U0001fae0']
7460921368349098774,2025-01-17 16:26:28,Deswegen nur die AFD,3,0,7460911353809734934,7460911353809734934,negative,,[]
7460914787431760662,2025-01-17 16:00:56,Christliche Partei Erzähl mal bitte wie viele Asylbewerber auch Asyl erhalten haben ,3,0,7460911353809734934,7460911353809734934,neutral,,"['🤔', '\U0001faf7']"
7460941355066770198,2025-01-17 17:43:38,Ihr habt doch die Grenzen geöffnet schon vergessen ,2,0,7460911353809734934,7460911353809734934,neutral,,[]
7460924946975326998,2025-01-17 16:40:17,,2,0,7460911353809734934,7460911353809734934,negative,1.0,"['👍', '👍', '👍', '💙', '💙', '💙']"
7460917379070182166,2025-01-17 16:10:39,Sind aber 33 mio seit merkel die grenzen 2015 öffnete gemäss dieser Statistik Die dunkelziffer ist sicher weit höher Wir brauchen es nicht schön reden Politik hat keine Ahnung aber die menschen,2,0,7460911353809734934,7460911353809734934,neutral,,[]
7465654175235638038,2025-01-30 10:32:39,Ja wir zahlen uns dumm u dämlich,1,0,7460911353809734934,7460911353809734934,negative,,[]
7461425568871072534,2025-01-19 01:05:04,,1,0,7460911353809734934,7460911353809734934,negative,1.0,"['💙', '💙', '💙', '💙', '👍', '👍', '👍', '💙', '💙', '💙']"
7461330650077037334,2025-01-18 18:54:32,,1,0,7460911353809734934,7460911353809734934,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
7460961137409016598,2025-01-17 19:00:18,Deshalb AFD an die Macht   ,1,0,7460911353809734934,7460911353809734934,neutral,1.0,"['💙', '💙', '💙']"
7460955405624607510,2025-01-17 18:38:14,voll korrekt ,1,0,7460911353809734934,7460911353809734934,positive,1.0,['👍']
7460922274495120150,2025-01-17 16:30:02,dann sitzt die Kröte in Ner Talkshow und sagt nein wir haben nicht mehr Gewalt ,1,0,7460911353809734934,7460911353809734934,neutral,,"['🤣', '🤦']"
7460921330284626710,2025-01-17 16:26:16,,1,0,7460911353809734934,7460911353809734934,negative,1.0,"['👍', '👍', '👍']"
7460920197600248598,2025-01-17 16:21:30,Nie wieder CDU Es war die CDU CSU die dafür verantwortlich ist Ihr seid unglaubwürdig,1,0,7460911353809734934,7460911353809734934,negative,,[]
7470045617559405334,2025-02-11 06:33:58,,0,0,7460911353809734934,7460911353809734934,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '👍', '👍', '👍', '👍']"
7469735759881831190,2025-02-10 10:30:53,Wir sind alle Angehörige von wem  von Mutter Erde  ,0,0,7460911353809734934,7460911353809734934,neutral,1.0,"['🌏', '👁️', '🙏']"
7469735551529845526,2025-02-10 10:30:05,Schau Dir mal die Scheidungen an  ,0,0,7460911353809734934,7460911353809734934,negative,1.0,"['👁️', '🙏']"
7469735388699001622,2025-02-10 10:29:41,Egal wo in Europa  ,0,0,7460911353809734934,7460911353809734934,positive,1.0,"['👁️', '🙏']"
7469735264530891542,2025-02-10 10:29:13,Wer nach außen Kriege anfängt beginnt sich daran beteiligt führt kann wird im Inneren keinen Frieden finden  ,0,0,7460911353809734934,7460911353809734934,neutral,1.0,"['👁️', '🙏']"
7469311936246170390,2025-02-09 07:06:35,,0,0,7460911353809734934,7460911353809734934,negative,1.0,"['🖤', '🖤', '🖤', '👍', '👍', '👍']"
7469126671809692438,2025-02-08 19:06:53,wie kann man flüchtlinge in ein Kriegsgebiet mit Waffenstillstand holen oder lassen oder habe ich da was missverstanden,0,0,7460911353809734934,7460911353809734934,neutral,,[]
7469032915755991830,2025-02-08 13:03:21,es ist schon interessant das genau die AFD fordert seit Jahren Jahre lang seit ihr in der Regierung nichts passiert jetzt vor der Wahl fällt euch das auf Meine Stimme bekommt die AFD ,0,0,7460911353809734934,7460911353809734934,negative,,"['❤️', '❤️', '❤️', '❤️', '❤️']"
7469019519207768854,2025-02-08 12:11:24,"Wer kommt muss sich ab 1 Tag selbst versorgen dann möchten
weniger kommen",0,0,7460911353809734934,7460911353809734934,negative,,[]
7466545746017239830,2025-02-01 20:11:32,"
Linke2025
",0,2,7460911353809734934,7460911353809734934,neutral,0.0,"['\U0001fa77', '🚩', '🌾', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '🌾', '🚩', '\U0001fa77']"
7463401765502092038,2025-01-24 08:51:20,Macht es dir etwas aus mir eine Freundschaftsanfrage zu schicken,0,0,7460911353809734934,7460911353809734934,negative,,[]
7462686752106382085,2025-01-22 10:36:45,Wunderschön Gute Arbeit dir tust Grüße aus Berlin,0,0,7460911353809734934,7460911353809734934,positive,,[]
7461559653626217238,2025-01-19 09:43:04,Die grüne Sekte hat schon lange den Sinn für die Realität verloren,0,0,7460911353809734934,7460911353809734934,neutral,,[]
7461546417439425302,2025-01-19 08:52:10,Deshalb AFD ,0,0,7460911353809734934,7460911353809734934,negative,1.0,"['💙', '💙', '💙']"
7461448526661550850,2025-01-19 02:34:52,Deshalb nur noch AFD und Alice Weidel als Kanzlerin          ,0,0,7460911353809734934,7460911353809734934,neutral,1.0,"['❤️', '💙', '👍', '❤️', '💙', '👍', '❤️', '💙', '👍', '❤️', '💙', '👍', '❤️', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
7461104907237819158,2025-01-18 04:25:28,genau deshalb nur noch AFD,0,0,7460911353809734934,7460911353809734934,negative,,[]
7460947201565655830,2025-01-17 18:06:17,"Oh alles wieder von der AFD abgeschrieben Niemals und immer wieder niemals die CDU
Schöne Farbe ihres Mantel deshalb nur ",0,0,7460911353809734934,7460911353809734934,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙']"
7460927444787790614,2025-01-17 16:49:48,seid ihr jetzt auch Rechtsradikale,0,0,7460911353809734934,7460911353809734934,positive,,[]
7460919475489473302,2025-01-17 16:19:10,Nur doof eure Partei gar dich damit angefangen Und immer rum gebrüllt WIR SCHAFFEN DAS Darum niemals CDU,0,0,7460911353809734934,7460911353809734934,negative,,[]
7460916247394812695,2025-01-17 16:06:39,Nein Danke,0,0,7460911353809734934,7460911353809734934,negative,,[]
7466545800106476310,2025-02-01 20:11:37,"
Linke2025
",0,0,7459810626177682710,7459810626177682710,neutral,0.0,"['\U0001fa77', '🚩', '🌾', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '🌾', '🚩', '\U0001fa77']"
7460387560805532439,2025-01-16 05:55:43,So wie dein Chef ,0,0,7459810626177682710,7459810626177682710,negative,,"['🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']"
7459865825282523926,2025-01-14 20:09:43,,0,0,7459810626177682710,7459810626177682710,negative,1.0,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']"
7459853044752286486,2025-01-14 19:20:08,Nur noch AfD ,0,0,7459810626177682710,7459810626177682710,negative,,"['🥰', '🥰', '🥰']"
7459837570462204704,2025-01-14 18:19:51,Bla bla,0,0,7459810626177682710,7459810626177682710,negative,1.0,['😅']
7459811311582511894,2025-01-14 16:38:19,"unwählbar
nur  für Deutschland",0,2,7459810626177682710,7459810626177682710,negative,1.0,"['💚', '💚', '💚']"
7465377973408383766,2025-01-29 16:40:01,"komisch jetzt erst
Nur Blau
Die Altparteien sind nicht mehr wählbar",66,0,7465369852388134166,7465369852388134166,negative,,[]
7465401762369094422,2025-01-29 18:12:26,Ja kennen wir ja Lügen vor der Wahl nichts als Lügen ,30,0,7465369852388134166,7465369852388134166,negative,1.0,['😅']
7465398370196423426,2025-01-29 17:59:01,heute hat Merz Mut bewiesen und die richtige Entscheidung getroffen,15,2,7465369852388134166,7465369852388134166,neutral,1.0,"['👏', '👏', '👏', '👏', '👏', '👏', '👏', '👏']"
7465440025561301782,2025-01-29 20:40:48,Das Problem ist das die SPD und Linke und Grünen nicht wollen ,14,0,7465369852388134166,7465369852388134166,negative,,[]
7465372492112413462,2025-01-29 16:19:03,Die Mitte rutscht irgendwie nach rechts Finde ich bisschen komisch,12,6,7465369852388134166,7465369852388134166,positive,,[]
7465376683701535510,2025-01-29 16:34:49,"Jetzt kurz vor der Wahl wird natürlich Wein versprochen
Nach der Wahl gibt es euer Abwasser",11,0,7465369852388134166,7465369852388134166,negative,,[]
7465370956463080214,2025-01-29 16:12:32,Merz nein danke ,12,0,7465369852388134166,7465369852388134166,negative,,[]
