id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7460168146810700566,2025-01-15 15:43:40,Was die auch machen müssen Sie müssen die Gesetze ändern dass diese Menschen Strafen bekommen über diese dicht mehr lachen können Weil die Strafen die sie bekommen ist ein Witz,0,0,7457851827950816534,7457851827950816534,neutral,,[]
7460167788507988758,2025-01-15 15:42:23,Es kann sich nur etwas ändern wenn die Politik und die Polizei vernünftig die Grenzen kontrollieren weil das Feuerwerk was sie da benutzt haben ist verboten,0,0,7457851827950816534,7457851827950816534,negative,,[]
7457872736506823446,2025-01-09 11:15:44,,0,1,7457851827950816534,7457851827950816534,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
7457866543634137878,2025-01-09 10:51:45,man kann gern eineNotlösung finden für die nächstenJahreDabei darf das zugrundeliegende Problem der NichtIntegration von Armutsflüchtlingendie finanzielle Überforderung des Staates vergessen werden,0,0,7457851827950816534,7457851827950816534,neutral,,[]
7456824806115558166,2025-01-06 15:29:05,Politiker sind Parasiten und Blutsauger weil sie nichts zur Wirtschaft und Wohlstand im Land beitragen sondern mit Ihrer korrupten Machenschaften unser Geld stehlen,0,0,7456797938132585750,7456797938132585750,neutral,,[]
7461527499210801942,2025-01-19 07:38:43,Ihr hattet jetzt wie viel Jahre um gegen die Entwicklung im Immobiliensektor vorzugehen Echte Mietendeckel gibt es nur mit Die Linke,4,0,7461515879742754070,7461515879742754070,neutral,,[]
7461525705840673558,2025-01-19 07:32:26,niemals CDU,4,0,7461515879742754070,7461515879742754070,negative,,[]
7461544105999500054,2025-01-19 08:42:49,NIEMALS ALTPARTEIEN,2,0,7461515879742754070,7461515879742754070,positive,,[]
7461539301311234838,2025-01-19 08:24:18,Sollen wir nochmal darüber reden wie es zur Wohnungsnot kommt oder wollen Sie weiter Fakten ignorieren,2,0,7461515879742754070,7461515879742754070,neutral,,[]
7461564928874398486,2025-01-19 10:03:28,Die AFD will Re Migration von Illegalen dadurch werden Wohnungen frei,1,2,7461515879742754070,7461515879742754070,neutral,,[]
7461548774399083286,2025-01-19 09:01:13,Der glaubt das tatsächlich was er sagt,1,1,7461515879742754070,7461515879742754070,neutral,1.0,['😜']
7461547195076084502,2025-01-19 08:55:12,Es wird schlimmer wenn Altparteien wieder gewählt werden Abgesehen davon sind die Stimmzettel eh ungültig ,1,6,7461515879742754070,7461515879742754070,negative,0.25,"['😂', '😂', '😂', '😂', '😂', '😡', '😡', '😡']"
