id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7460987472652518166,2025-01-17 20:42:40,Danke wirklich Danke Endlich mal jmd der realistisch ist und über die wirkliche Probleme spricht,5,0,7460903073918111008,7460903073918111008,positive,,[]
7461204284303508246,2025-01-18 10:44:11,ich wünsche Syrien eine stabile und wirklich gute Zukunft für alle Bürger dort,2,0,7460903073918111008,7460903073918111008,positive,1.0,"['🙏', '❤️']"
7461001014830416672,2025-01-17 21:34:43,Das war eine klare und realistische Erklärung danke für den Einblick  Sehr interessant und detailliert Danke schön,1,0,7460903073918111008,7460903073918111008,positive,,[]
7472020443047658262,2025-02-16 14:16:12,,0,0,7460903073918111008,7460903073918111008,negative,1.0,"['👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍']"
7470885500887450390,2025-02-13 12:51:59,الحمدلله انتصار الحق,0,0,7460903073918111008,7460903073918111008,negative,,[]
7461590406611157782,2025-01-19 11:42:15,والله انتي ذهب ,0,0,7460903073918111008,7460903073918111008,negative,1.0,['💚']
7461229420772639510,2025-01-18 12:22:00,,0,0,7460903073918111008,7460903073918111008,negative,,"['🥰', '🥰', '✌️']"
7461222973308142358,2025-01-18 11:56:31,Sie hat recht,0,0,7460903073918111008,7460903073918111008,neutral,,[]
7461222804106609430,2025-01-18 11:56:13,ich,0,0,7460903073918111008,7460903073918111008,positive,,"['🥺', '🥺']"
7461116112215671574,2025-01-18 05:06:57,Grün ist gut für den gesamten Planet,0,0,7460903073918111008,7460903073918111008,positive,,[]
7461108170851091222,2025-01-18 04:38:35,,0,0,7460903073918111008,7460903073918111008,negative,1.0,"['🤲', '🤲', '👍', '👍', '👍', '👍', '👍']"
7461079955922453270,2025-01-18 02:47:54,Wir lieben dich ohne Ende ,0,0,7460903073918111008,7460903073918111008,positive,1.0,['💚']
7461035513048433430,2025-01-17 23:50:39,aber nicht mit diese Leute da unten nicht mit diese Gesetze was hat Europa getan in Syrien Syrien ist total und die Verbrecher ist da und michaeli hat auch da was redest da das steht nicht auf die Kinder nur der Land alle furchtbar alles ist kriegt noch,0,0,7460903073918111008,7460903073918111008,negative,,[]
7460994911925256982,2025-01-17 21:11:23,Frau Kaddor wird die Regierung uns erlauben die Heimat zu besuchen,0,0,7460903073918111008,7460903073918111008,neutral,1.0,['👍']
7460992878992835350,2025-01-17 21:03:54,,0,0,7460903073918111008,7460903073918111008,negative,,"['❤️', '❤️', '❤️', '❤️']"
7460970642716951318,2025-01-17 19:37:12,,0,0,7460903073918111008,7460903073918111008,negative,1.0,"['💚', '💚', '💚']"
7460915356817015574,2025-01-17 16:03:14,,0,0,7460903073918111008,7460903073918111008,negative,1.0,['👍']
7465573179332723478,2025-01-30 05:19:49,Ihr seid die Faschisten und Nazis,124,9,7465427498671574305,7465427498671574305,negative,,[]
7465487466322379542,2025-01-29 23:45:40,Das nennt man Demokratie ,104,5,7465427498671574305,7465427498671574305,neutral,1.0,"['💪', '💪', '👍🏻', '👍🏻', '👍🏻', '👍🏻', '👍🏻']"
7465563490921497366,2025-01-30 04:42:05,Die Realität knalltnicht wahr,57,0,7465427498671574305,7465427498671574305,neutral,1.0,"['😂', '😂', '😂', '😂']"
7465561711556313878,2025-01-30 04:37:01,sie merkt es immer noch nicht,37,0,7465427498671574305,7465427498671574305,neutral,,[]
7465548327016760086,2025-01-30 03:48:39,Parteien stimmen eigenen Vorschlägen zu Sowas aber auch,34,0,7465427498671574305,7465427498671574305,neutral,,[]
7465433743094186774,2025-01-29 20:16:20,Du sprichst von Nazis Weißt du überhaupt was Nazis waren Scheinbar nicht Unfassbar dummes Gerede ,24,0,7465427498671574305,7465427498671574305,negative,-1.0,['😡']
7465428883883590422,2025-01-29 19:57:32,Gut so,24,9,7465427498671574305,7465427498671574305,positive,1.0,"['😂', '🙏', '💙']"
7465580824320639746,2025-01-30 05:48:26,Nur noch ,17,0,7465427498671574305,7465427498671574305,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
7465563372432950038,2025-01-30 04:42:38,Das ist Demokratie ,17,0,7465427498671574305,7465427498671574305,neutral,1.0,['💪']
7465586888540193558,2025-01-30 06:11:00,Demokratie  Antrag Abstimmung Ergebnis Oder habe ich da was falsch verstanden ,16,0,7465427498671574305,7465427498671574305,neutral,,['🧐']
7465622908551971606,2025-01-30 08:30:48,Demokratie nennt man so etwas,14,0,7465427498671574305,7465427498671574305,neutral,,[]
7465588114795922198,2025-01-30 06:16:06,Das war längst überfällig,13,0,7465427498671574305,7465427498671574305,neutral,,[]
7465615869772481302,2025-01-30 08:04:00,Sie sind es die gerade hetzt,10,0,7465427498671574305,7465427498671574305,neutral,,[]
7465588595462685462,2025-01-30 06:17:35,"Angst breitet sich aus
Vor echten Demokratie",9,0,7465427498671574305,7465427498671574305,neutral,,[]
7465554708587102998,2025-01-30 04:11:43,Ihr wollt doch nichts ändern ,9,0,7465427498671574305,7465427498671574305,negative,,['🤔']
7465647973711119106,2025-01-30 10:08:44,deswegen ,8,0,7465427498671574305,7465427498671574305,negative,1.0,['💙']
7465617321290826498,2025-01-30 08:09:14,wo ist Einhaltung von Dubblin 2 verfassungswidrig,7,0,7465427498671574305,7465427498671574305,neutral,,[]
7465549321422291734,2025-01-30 03:50:12,Einfach geil ,7,0,7465427498671574305,7465427498671574305,positive,,[]
7465432080018899734,2025-01-29 20:10:02,Bin enttäuscht,7,0,7465427498671574305,7465427498671574305,negative,,[]
7465430131307741974,2025-01-29 20:02:31,Danke für eine intelligente Stimme an diesem düsteren Tag Die CDU als Steigbügelhalter der Faschisten hätte ich mir nicht vorstellen können,7,1,7465427498671574305,7465427498671574305,positive,,[]
7465604223487410946,2025-01-30 07:18:48,Was heißt leider erleben müssen Soweit ich informiert bin leben wir noch in einer Demokratie wo die Mehrheit und das Volk das Sagen hat,6,0,7465427498671574305,7465427498671574305,neutral,,[]
7465589659393901334,2025-01-30 06:21:49,nur noch,6,0,7465427498671574305,7465427498671574305,negative,1.0,"['💙', '💙', '💙']"
7465587616198181654,2025-01-30 06:14:12,Da haben wir so lange drauf gewartet,5,0,7465427498671574305,7465427498671574305,negative,,[]
7465553724292760342,2025-01-30 04:07:09,Das ist Demokratie,5,0,7465427498671574305,7465427498671574305,neutral,,[]
7465442742525870870,2025-01-29 20:51:09,Endlich wieder Hoffnung ,5,0,7465427498671574305,7465427498671574305,negative,1.0,['👍']
7465640696533320450,2025-01-30 09:40:03,Das nennt man Demokratie,4,0,7465427498671574305,7465427498671574305,neutral,,[]
7465627610291471126,2025-01-30 08:49:10,Was ist falsch an Demokratie,4,0,7465427498671574305,7465427498671574305,negative,,[]
7465618842761904918,2025-01-30 08:15:09,Gott sei dank ,4,0,7465427498671574305,7465427498671574305,positive,1.0,"['😂', '😂', '😂', '😂', '😂', '👍']"
7465587863192912662,2025-01-30 06:15:31,jetzt geht wieder bergauf,4,0,7465427498671574305,7465427498671574305,negative,,[]
7465586148565222166,2025-01-30 06:08:50,Bald geht es aufwärts,4,0,7465427498671574305,7465427498671574305,negative,,[]
7465432250000147222,2025-01-29 20:10:18,Habe Angst als homosexueller Mann,4,1,7465427498671574305,7465427498671574305,negative,,[]
7465754181456233238,2025-01-30 17:00:06,2302 ,3,0,7465427498671574305,7465427498671574305,positive,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
7465656533905490710,2025-01-30 10:41:16,So ein Quatsch,3,0,7465427498671574305,7465427498671574305,negative,,[]
7465589217406698262,2025-01-30 06:20:07,Super ,3,0,7465427498671574305,7465427498671574305,positive,,"['🥰', '🥰', '🥰', '🥰', '🥰', '🥰', '🥰']"
7465585378554430230,2025-01-30 06:06:09,Ich hoffe sie sind damals mit einem Pass reingekommen Viele schmeißen ihren Pass nämlich weg und kommen aus sicheren Drittstaatensind gegen bestehende Gesetze ins Land gekommen,3,4,7465427498671574305,7465427498671574305,neutral,,[]
7465580520458666774,2025-01-30 05:46:53,Und das war hoffentlich nur der Anfang eines Wandels in der Politik,3,0,7465427498671574305,7465427498671574305,neutral,,[]
7465434996108215062,2025-01-29 20:21:11,Durchatmen und bunt wählen keine Stimme für Schwarzbraun,3,0,7465427498671574305,7465427498671574305,negative,,[]
7465428636860007190,2025-01-29 19:56:36,,3,5,7465427498671574305,7465427498671574305,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
