id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7459856095995216662,2025-01-14 19:32:03,Ich lese bei diesen Beiträgen immer daß man sich für die Demokratie einsetzt Dabei ist das Verhalten sowas von antidemokratisch Die leiden alle an Wahrnehmungsstörung,5,3,7459844270988528918,7459844270988528918,negative,,[]
7459854796741526294,2025-01-14 19:26:51,Blauer Schimmel Was nimmt sie ,4,0,7459844270988528918,7459844270988528918,negative,1.0,"['😂', '😂', '😂']"
7459873732305601302,2025-01-14 20:40:33,Wir brauchen keine neuen Schulden wenn das Geld in Deutschland bleibt,3,6,7459844270988528918,7459844270988528918,neutral,,[]
7459862072357520150,2025-01-14 19:55:06,,2,0,7459844270988528918,7459844270988528918,negative,1.0,"['😱', '😱', '😱', '😱', '😱', '😱']"
7459861663958893334,2025-01-14 19:53:34,Starker Beitrag Für Investitionen gegen Hass und Hetze Für die Zukunft ,2,2,7459844270988528918,7459844270988528918,neutral,1.0,"['💚', '💚', '💚']"
7459850546640503574,2025-01-14 19:10:19,"weiter so
Ergebnis folgt",2,0,7459844270988528918,7459844270988528918,positive,,[]
7464994194340741910,2025-01-28 15:50:46,Warum ist Dummheit so anziehend wie eine Droge,0,0,7459844270988528918,7459844270988528918,negative,,[]
7459845442231354134,2025-01-14 18:50:32,,0,0,7459844270988528918,7459844270988528918,negative,1.0,"['👍', '🤩']"
7464010478521975574,2025-01-26 00:14:48,Danke Berlin danke Köln danke Münster danke an alle Städte die sich gegen diesen Wahnsinn auflehnen ,592,7,7463938629530963222,7463938629530963222,positive,1.0,"['🙏', '🙏', '👍']"
7463993676156420886,2025-01-25 23:08:20,Das macht Hoffnung ,493,5,7463938629530963222,7463938629530963222,neutral,1.0,"['👍', '💪🏻', '\U0001faf6']"
7463946139952939798,2025-01-25 20:03:45,Gänsehaut ,240,0,7463938629530963222,7463938629530963222,positive,1.0,['💪']
7463945301536555798,2025-01-25 20:00:26,"
Linke2025

",220,4,7463938629530963222,7463938629530963222,neutral,0.3333333333333333,"['❤️', '🚩', '🌾', '❤️', '🖤', '🖤', '❤️', '🌾', '🚩', '❤️', '\U0001fa77', '\U0001faf8', '💙', '💙']"
7463945295291958038,2025-01-25 20:00:35,Wunderbar Genau so ,71,0,7463938629530963222,7463938629530963222,positive,1.0,"['👍', '🥰']"
7464941652441252641,2025-01-28 12:26:56,whats the name of this awesome tune btw,69,2,7463938629530963222,7463938629530963222,positive,,[]
7464277365343601440,2025-01-26 17:28:42,Halte fest zusammen,57,0,7463938629530963222,7463938629530963222,neutral,1.0,"['💖', '💖', '💖']"
7464282199211377430,2025-01-26 17:47:42,"
DieLinke
",56,0,7463938629530963222,7463938629530963222,negative,0.0,"['❤️', '🚩', '🌾', '❤️', '🖤', '🖤', '❤️', '🌾', '🚩', '❤️']"
7463960261059560214,2025-01-25 20:58:45,immer wieder Gänsehaut ,51,0,7463938629530963222,7463938629530963222,positive,,['❤️']
7464306176319177494,2025-01-26 19:20:37,imagine being German having the darkest period of your history during the nzee regime and still wanting to vote for nzees never the blue  RAUS MIT NZEES,45,2,7463938629530963222,7463938629530963222,negative,-1.0,['💩']
7464347454872552194,2025-01-26 22:00:56,ma i telegiornali non dicono nulla di tutto vio,44,3,7463938629530963222,7463938629530963222,negative,,[]
7467535304740946710,2025-02-04 12:11:45,hሀገረበየፀከበ wer rechts ist,43,3,7463938629530963222,7463938629530963222,negative,1.0,"['🌍', '\U0001faf8', '💙']"
7463951972472046358,2025-01-25 20:26:15,Weiter so,40,0,7463938629530963222,7463938629530963222,positive,,[]
7463990823652311830,2025-01-25 22:57:35,Danke,36,0,7463938629530963222,7463938629530963222,positive,,"['❤️', '❤️', '❤️', '❤️', '❤️', '❤️']"
7464655848192672534,2025-01-27 17:57:46,BRAWO pozdrawiam,35,0,7463938629530963222,7463938629530963222,positive,,[]
7464009998081114902,2025-01-26 00:12:12,Megaaaa,33,0,7463938629530963222,7463938629530963222,positive,,"['❤️', '❤️', '❤️', '❤️']"
7464184568564728598,2025-01-26 11:28:50,danke aus der schweiz,32,0,7463938629530963222,7463938629530963222,neutral,1.0,"['🙏', '💪', '🇨🇭']"
7464131447968940822,2025-01-26 08:02:57,Gänsehaut ,26,0,7463938629530963222,7463938629530963222,positive,,"['\U0001faf6🏼', '❤️']"
7464281699569632022,2025-01-26 17:45:49,"
Linke2025

",24,0,7463938629530963222,7463938629530963222,neutral,0.3333333333333333,"['❤️', '🚩', '🌾', '❤️', '🖤', '🖤', '❤️', '🌾', '🚩', '❤️', '\U0001fa77', '\U0001faf8', '💙', '💙']"
7464358275082961686,2025-01-26 22:43:36,Danke aus Holland,22,0,7463938629530963222,7463938629530963222,neutral,,[]
7464513735341982497,2025-01-27 08:46:51,Thank you,19,2,7463938629530963222,7463938629530963222,positive,,[]
7463994714028262166,2025-01-25 23:12:35, DANKE AN EUCH ALLE ,18,1,7463938629530963222,7463938629530963222,positive,1.0,"['🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏']"
7464652943912878870,2025-01-27 17:46:16,"
Linke2025

",17,0,7463938629530963222,7463938629530963222,neutral,0.3333333333333333,"['❤️', '🚩', '🌾', '❤️', '🖤', '🖤', '❤️', '🌾', '🚩', '❤️', '\U0001fa77', '\U0001faf8', '💙', '💙']"
7464090193528947478,2025-01-26 05:25:32,Danke,16,0,7463938629530963222,7463938629530963222,positive,1.0,"['🙏', '🙏', '🙏']"
7463951919159067414,2025-01-25 20:26:18,,15,0,7463938629530963222,7463938629530963222,negative,,"['❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️']"
7464302101952463638,2025-01-26 19:05:04,Good for you ,14,0,7463938629530963222,7463938629530963222,positive,,['✌️']
7474182529017463574,2025-02-22 10:06:03,"
Linke2025


Heidi für Deutschland 
",13,0,7463938629530963222,7463938629530963222,neutral,0.0,"['❤️', '🚩', '🌾', '❤️', '🖤', '🖤', '❤️', '🌾', '🚩', '❤️', '🇩🇪', '\U0001fa77', '🇩🇪', '🕊️', '🕊️', '🇩🇪', '\U0001fa77', '\U0001fa77']"
7464932913848582934,2025-01-28 11:53:26,BRAWO,13,0,7463938629530963222,7463938629530963222,negative,,['🥰']
7464348062598906646,2025-01-26 22:03:42,,13,0,7463938629530963222,7463938629530963222,negative,,"['\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77']"
7466904193872233239,2025-02-02 19:22:28,,12,0,7463938629530963222,7463938629530963222,negative,,"['\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77']"
7463980576287261462,2025-01-25 22:17:22,Gänsehaut ,12,0,7463938629530963222,7463938629530963222,positive,,"['❤️', '🖤']"
7464290228515488534,2025-01-26 18:19:07,"
Linke2025
",11,0,7463938629530963222,7463938629530963222,neutral,0.0,"['❤️', '🚩', '🌾', '❤️', '🖤', '🖤', '❤️', '🌾', '🚩', '❤️']"
7467327778834400022,2025-02-03 22:47:00," 


",10,0,7463938629530963222,7463938629530963222,negative,1.0,"['💓', '\U0001fa77', '🎀', '\U0001fa77']"
7465414288841966358,2025-01-29 19:00:52,"
Linke2025
",10,0,7463938629530963222,7463938629530963222,neutral,0.0,"['❤️', '🚩', '🌾', '❤️', '🖤', '🖤', '❤️', '🌾', '🚩', '❤️']"
7464598664160166678,2025-01-27 14:16:13,B R A V O ,10,0,7463938629530963222,7463938629530963222,neutral,1.0,"['💪', '♥️']"
7463951913488270102,2025-01-25 20:26:14,,10,0,7463938629530963222,7463938629530963222,negative,,"['❤️', '❤️', '❤️']"
7464947059730563872,2025-01-28 12:48:13,Super,8,0,7463938629530963222,7463938629530963222,positive,,"['❣️', '❣️', '❣️']"
7464883258473153302,2025-01-28 08:41:05,Danke weltweit,8,0,7463938629530963222,7463938629530963222,positive,,"['🥰', '🥰', '🥰']"
