id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7462159789927547670,2025-01-21 00:35:34,,1,0,7461688675278310678,7461688675278310678,negative,1.0,"['💚', '💚', '💚']"
7461741604573053728,2025-01-19 21:28:48,Madame blamage de la catastrophe ,0,1,7461688675278310678,7461688675278310678,negative,,['🤦']
7461693534200365846,2025-01-19 18:22:45,Mit der AfD wird nicht geredetdafür aber mit barbarischen IslamistenGut das Grün bald fertig hat,0,2,7461688675278310678,7461688675278310678,negative,,[]
7461322074415121174,2025-01-18 18:21:07,Alles Gute für Jasmin ,2,0,7461297629302099202,7461297629302099202,positive,1.0,['👍']
7461544470799008534,2025-01-19 08:44:09,,1,0,7461297629302099202,7461297629302099202,negative,1.0,"['😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍']"
7459104207195357974,2025-01-12 18:54:08,,1,0,7459099997641002262,7459099997641002262,negative,1.0,"['💚', '💚', '💚']"
7458770322159371010,2025-01-11 21:18:59,Ihr hier macht aktiv Politik gegen Klimaschutz,2,6,7458741716460309782,7458741716460309782,neutral,,[]
7462428249761448727,2025-01-21 17:53:40,Geht bloß wählen Keine Populisten oder Lobbyisten im Bundestag keine Stimme für AfD CDUCSU FDP und BSW in der anstehenden Wahl Habeck for Kanzler,1,0,7458741716460309782,7458741716460309782,negative,,[]
7458774349841089302,2025-01-11 21:34:55,,1,0,7458741716460309782,7458741716460309782,negative,1.0,"['💚', '💚']"
7458771494366806806,2025-01-11 21:23:42,,1,0,7458741716460309782,7458741716460309782,negative,1.0,"['💚', '💚', '💚', '💚']"
7464221336047977238,2025-01-26 13:51:33,Wohlstand ,0,0,7458741716460309782,7458741716460309782,positive,1.0,"['🤣', '🤣', '🤣', '👍']"
7464221205941715734,2025-01-26 13:51:21,Ich wußte nicht dass klima mördet vergegewaltigt usw,0,0,7458741716460309782,7458741716460309782,negative,,[]
7461254078242472726,2025-01-18 13:57:38,,0,0,7458741716460309782,7458741716460309782,negative,1.0,"['💚', '💚', '💚']"
7460432391757611798,2025-01-16 08:49:27,,2,0,7458702737379839254,7458702737379839254,negative,1.0,"['😍', '😍', '😍', '😍', '😍', '💚', '💚', '💚', '💚', '💚']"
7460162324420346646,2025-01-15 15:21:03,Sehr stark ,2,0,7458702737379839254,7458702737379839254,positive,1.0,"['💪', '💚']"
7458726629730026262,2025-01-11 18:29:38,Sie werden geau so schnell wieder weg sein,2,2,7458702737379839254,7458702737379839254,neutral,,[]
7461976676567991062,2025-01-20 12:42:01,,1,0,7458702737379839254,7458702737379839254,negative,1.0,"['👍', '💚']"
7459684014858945302,2025-01-14 08:24:54,Lukaku einfach nicht gut gelaunt,1,0,7458702737379839254,7458702737379839254,negative,1.0,['😅']
7469410117910774550,2025-02-09 13:26:39,Habeck zündet Bomben Dann bestimmt auch Bauschraum in Auspuff,0,0,7458702737379839254,7458702737379839254,neutral,,[]
7468192436340376342,2025-02-06 06:42:29,Nur AfD ,0,0,7458702737379839254,7458702737379839254,negative,1.0,"['💙', '💙', '💙', '💙']"
7460844505576833814,2025-01-17 11:28:45,,0,1,7458702737379839254,7458702737379839254,negative,1.0,"['💯', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
7458802660470424342,2025-01-11 23:25:21,Wichtig niemals grün wählen ,0,1,7458702737379839254,7458702737379839254,negative,1.0,"['😃', '👍']"
7458800159792169730,2025-01-11 23:15:03, Die zwei haben den Knall nicht gehört ,0,0,7458702737379839254,7458702737379839254,neutral,1.0,"['😂', '😂', '😂', '😂', '😂', '😂']"
7458736259084665622,2025-01-11 19:07:05,nie wieder Grün,0,2,7458702737379839254,7458702737379839254,negative,,[]
7458707540558316311,2025-01-11 17:15:08,Niemals Grüne Niemals,0,1,7458702737379839254,7458702737379839254,negative,,[]
7458707273755509526,2025-01-11 17:14:41,Genau die von den Menschen geliebte Doppelmoral Sylvester wegen Feinstaub und CO2 verbieten wollen und dann so ein versiffter Poste,0,1,7458702737379839254,7458702737379839254,neutral,,[]
7465538582913598230,2025-01-30 03:08:20,Da spricht das böse ,290,3,7465484191275240726,7465484191275240726,neutral,1.0,['🙈']
7465609459970474774,2025-01-30 07:39:27,Diese Frau ist richtig schlimm,208,15,7465484191275240726,7465484191275240726,negative,,[]
7465594827021009686,2025-01-30 06:42:25,Sie hat sich selbst entlarvt als Antidemokratin,115,3,7465484191275240726,7465484191275240726,neutral,,[]
7465638618112934678,2025-01-30 09:32:14,Danke für die deutliche Worte Merz ist nicht mehr wählbar Merz trägt die Verantwortung für den Fall der Brandmauer,107,9,7465484191275240726,7465484191275240726,neutral,,[]
7465581157950849814,2025-01-30 05:49:05,Die Quittung für eure Politik,76,7,7465484191275240726,7465484191275240726,neutral,,[]
7465572593509925654,2025-01-30 05:17:19,3 Jahre ist nichts passiert ,51,2,7465484191275240726,7465484191275240726,neutral,-1.0,"['😡', '😡', '😡', '😡', '😡']"
7465535617067877122,2025-01-30 02:57:54,Drei Jahre war Zeit was zu tun und nun will man wieder reden  reden und reden ,44,6,7465484191275240726,7465484191275240726,neutral,,[]
7465512980969882390,2025-01-30 01:26:48,Löwin ,43,0,7465484191275240726,7465484191275240726,negative,1.0,['💚']
7465623207233078038,2025-01-30 08:32:14,Demokratie passt nicht jedem,41,0,7465484191275240726,7465484191275240726,positive,,[]
7465593528854446870,2025-01-30 06:37:20,Dieses Gejammere  Es war für Deutschland und jeder redet nur von Rechts und nicht über Politik,40,5,7465484191275240726,7465484191275240726,negative,1.0,"['😂', '😂']"
7465641775337472790,2025-01-30 09:44:26,kein merz im märz,29,0,7465484191275240726,7465484191275240726,negative,,[]
7465573705395110678,2025-01-30 05:21:38,was will sie denn Angst und ihr Job und Gelddie können nur Hass und Hetze ,29,9,7465484191275240726,7465484191275240726,negative,-1.0,"['🤔', '🤔', '😡']"
7465643329351402262,2025-01-30 09:49:52,Süsse alte Omi Du hast fertig,28,17,7465484191275240726,7465484191275240726,neutral,,[]
7465532992930644758,2025-01-30 02:49:33,3 Jahre ist nix passiert,27,1,7465484191275240726,7465484191275240726,negative,,[]
7465613384940651286,2025-01-30 07:54:10,nur noch Blau ,23,0,7465484191275240726,7465484191275240726,negative,1.0,"['💙', '💙', '💙', '💙', '💙']"
7465619768331993878,2025-01-30 08:19:11,"Wo sind die Demokratisch 
",18,0,7465484191275240726,7465484191275240726,negative,,"['🤣', '🤣', '🤣', '🤣', '🤣']"
