id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7457242592142967574,2025-01-07 18:30:13,,3,0,7457195503382482198,7457195503382482198,negative
7457397583653192470,2025-01-08 04:32:34,"würde mir mehr sorgen um das oberflächenwasser machen
grundwasser ist normalerweise sauber muss nicht gereinigt werden
das oberflächenwasser wird in",1,3,7457195503382482198,7457195503382482198,positive
7462753356608815894,2025-01-22 14:55:13,aber die union stimmt in der eu lieber mit den rechtsextremen gegen menschenschutz dehalb beide stimmen grün,0,0,7457195503382482198,7457195503382482198,neutral
7457620653689668374,2025-01-08 18:57:10,"dann schau mal die abgas bestandteile von kerosin turbinen an
ort wo kein traktor oder auto hinkommt arsen und andere stoffe
der luftverkehr machts möglich interessiert aber keinen",0,0,7457195503382482198,7457195503382482198,neutral
7457579555995042582,2025-01-08 16:17:44,aber den weizen aus der ukraine importieren wo nach eu standards gar nicht verkehsfähig ist,0,1,7457195503382482198,7457195503382482198,neutral
7457540929320534806,2025-01-08 13:48:00,ich würde mir mehr um die grüne politik sorgen machen die das noch schöne land vernichtet inklusive der natur,0,0,7457195503382482198,7457195503382482198,neutral
7457425618550653719,2025-01-08 06:20:41,wenn das ein echter staat wäre dann würde es so etwas nicht geben aber da die brd nur eine firma ist und der mensch nur eine sache könnt ihr das machen ,0,2,7457195503382482198,7457195503382482198,neutral
7457345963578999574,2025-01-08 01:12:36,war mercosur ja ein echter glücksgriff ist das trinkwasser ja auf einem anderen kontinent,0,0,7457195503382482198,7457195503382482198,negative
7457268781586891542,2025-01-07 20:11:50,wird tfa aus den trinkwasser herausgefiltert,0,0,7457195503382482198,7457195503382482198,neutral
7457262714512835350,2025-01-07 19:48:13,,0,0,7457195503382482198,7457195503382482198,negative
7457251486416143126,2025-01-07 19:04:45,,0,0,7457195503382482198,7457195503382482198,negative
7460210231357358870,2025-01-15 18:26:34,ein schelm der böses denkt,7,0,7460164551598722326,7460164551598722326,neutral
7460208150837691138,2025-01-15 18:18:39, na das macht ja hoffnung dann ist jetzt schon klar das es nichts wird die grünen haben bisher ja auch schon die wirtschaft kaputt gemacht jetzt auch noch die landwirtschaft,7,1,7460164551598722326,7460164551598722326,negative
7460213037150044950,2025-01-15 18:37:35,warum kommt mir das komisch vor,5,1,7460164551598722326,7460164551598722326,negative
7460217592319542039,2025-01-15 18:55:05,komisch gibts nur noch in südamerika vielleicht sollten wir die importe stoppen,3,0,7460164551598722326,7460164551598722326,negative
7460209982542873366,2025-01-15 18:25:37,weg mit den altparteien ,1,0,7460164551598722326,7460164551598722326,neutral
7468199830788358934,2025-02-06 07:10:50,özdemir soll sich drum kümmern seit dem bruch der ampel ist der irgendwie untergetaucht,0,0,7460164551598722326,7460164551598722326,negative
7468060195722658582,2025-02-05 22:08:35,prinzipienfestigkeit brandmauer der grünen  spd geht zulasten der problemlösung wählerwillen wird durch beide ignoriert keine stimme für die grünen und ihren juniorpartner spd,0,0,7460164551598722326,7460164551598722326,negative
7467522713369543446,2025-02-04 11:23:06,hoffentlich ist das bald zu ende,0,0,7460164551598722326,7460164551598722326,negative
7462042586585383702,2025-01-20 16:56:56,,0,0,7460164551598722326,7460164551598722326,negative
7461979312979116802,2025-01-20 12:52:20,veganuary also vielleicht ein zeichen viel glück und erfolg,0,0,7460164551598722326,7460164551598722326,neutral
7465353354983097110,2025-01-29 15:04:32,es geht gerade um alles und scheinbar überall mir ist seit tagen übel möge die macht mit uns sein demokraten aller länder vereinigt euch,7,0,7465334435643133206,7465334435643133206,negative
7465513389817987862,2025-01-30 01:28:22,stimmt endlich für das afd verbot    ,2,0,7465334435643133206,7465334435643133206,positive
7465409615254192918,2025-01-29 18:42:33,,1,0,7465334435643133206,7465334435643133206,negative
7465343279581610774,2025-01-29 14:25:36,demokratie verstanden ,1,3,7465334435643133206,7465334435643133206,neutral
7470545519405925142,2025-02-12 14:52:56,,0,0,7465334435643133206,7465334435643133206,negative
7466407028346782486,2025-02-01 11:13:35,"
mit herz gegen merz und weidel
bitte geht wählen",0,0,7465334435643133206,7465334435643133206,neutral
7466406830002422550,2025-02-01 11:12:52,,0,0,7465334435643133206,7465334435643133206,negative
7466405753976095490,2025-02-01 11:08:40,in einer demokratie dürfen alle parteien im parlament über anträge und gesetze abstimmen alles andere ist diktatur,0,0,7465334435643133206,7465334435643133206,neutral
7465927566659765014,2025-01-31 04:17:11,wer unrecht νersteht ist nie mehr bιind sυch die antwort sie ist hier  geschwind afdνerbοtde,0,0,7465334435643133206,7465334435643133206,neutral
7465920266179478294,2025-01-31 03:48:26,,0,1,7465334435643133206,7465334435643133206,negative
7465602565670241046,2025-01-30 07:11:54,,0,0,7465334435643133206,7465334435643133206,negative
7465523040307217174,2025-01-30 02:06:18,denen geht dera auf grundeis,0,0,7465334435643133206,7465334435643133206,negative
7465513050379420439,2025-01-30 01:28:45,was muss noch passieren ,0,1,7465334435643133206,7465334435643133206,neutral
7465454011773567766,2025-01-29 21:35:02,und es ist passiert ,0,0,7465334435643133206,7465334435643133206,neutral
7465370331059520258,2025-01-29 16:10:16,ich sehe dich grad im livestream ,0,0,7465334435643133206,7465334435643133206,negative
7465344778441474838,2025-01-29 14:31:30,,0,0,7465334435643133206,7465334435643133206,negative
7465344160125518614,2025-01-29 14:29:01,und die befreier von auschwitz wurden nicht eingeladen aber es wird alles von euch instrumentalisiert ist ja euer spruch russland hat 26 millionen tote zu verklagen gegen den krieg mit deutschland,0,2,7465334435643133206,7465334435643133206,neutral
7502468624218489622,2025-05-09 15:30:07,,0,0,7468747395434614038,7468747395434614038,negative
7472478330467566358,2025-02-17 19:52:55,bayern das san mir unsere regierung trinkt zuviel bier,2,0,7472449468277804310,7472449468277804310,negative
7472481127006733058,2025-02-17 20:03:38,ich hoffe das bleibt bestehen ich würde das gerne demnächst nutzen ,2,0,7472449468277804310,7472449468277804310,negative
7507346438243386134,2025-05-22 18:58:32,söder ist wirklich strunzdämlich ,0,0,7472449468277804310,7472449468277804310,negative
7474444066999583510,2025-02-23 03:03:49,der söder bekommt bayern schon noch klein ,0,0,7472449468277804310,7472449468277804310,neutral
