id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7457537617112072982,2025-01-08 13:35:06,Beide Stimmen ,2,0,7457529003201580310,7457529003201580310,neutral
7457534252646302487,2025-01-08 13:21:56,dritte Startbahn muss kommen sonst könnst den Flughafen gleich dicht machen,2,2,7457529003201580310,7457529003201580310,neutral
7457553735973569302,2025-01-08 14:37:41,Grün nein danke die 3 ist ok,1,0,7457529003201580310,7457529003201580310,negative
7457538854460211990,2025-01-08 13:39:48,Nie wieder die Grünen ,1,0,7457529003201580310,7457529003201580310,negative
7458080413530833686,2025-01-10 00:42:12,"Weiter so  Kämpft trotz Wissen der Nutzlosigkeit eurer Partei  Freu mich auf die Wahlen 
Dann habt ihr aus gekämpft ",0,0,7457529003201580310,7457529003201580310,negative
7457927772108964630,2025-01-09 14:49:07,Niemals Grüne Niemals,0,0,7457529003201580310,7457529003201580310,negative
7457771543683744534,2025-01-09 04:43:50,Wird Zeit dass Berlin wieder mit Politikern besetzt wird Mit Kita hats ja nicht so funktioniert Noch nicht mal trocken hinter den Ohren,0,0,7457529003201580310,7457529003201580310,negative
7457559044536304406,2025-01-08 14:58:17,Die ist doch unter der Wiese schon lang gebaut,0,0,7457529003201580310,7457529003201580310,neutral
7457547548489089814,2025-01-08 14:13:31,Ich würd mir echt wünschen dass ihr nicht sagt gegen was ihr seid sondern auch warum Was ist an einer 3 Startbahn schlecht,0,2,7457529003201580310,7457529003201580310,negative
7457207054954267414,2025-01-07 16:12:22,wichtig aufzeigen es die Grünen in der Ampel erreicht haben und wie es weiter gehen soll,1,0,7457203958616952066,7457203958616952066,neutral
7459090805073576736,2025-01-12 18:02:10,Warum sollte sich die CSU um China kümmern Welche Aussagen äußert China denn zu Bayern,1,2,7457851608257334560,7457851608257334560,neutral
7459026138485228310,2025-01-12 13:51:17,ob sich die Landesregierung Bayerns um die Menschenrechte in China kümmert die haben in etwa 100 mal mehr Bürger das bevölkerungsreichste Land,0,1,7457851608257334560,7457851608257334560,neutral
7488707616304562966,2025-04-02 13:30:27,Wir wollen dich doch lieber mit 130 aufm Fahrrad sehen dann ist der Bundesradler schneller,2,0,7464524231309610273,7464524231309610273,neutral
7465412727945593623,2025-01-29 18:54:52,,1,0,7464524231309610273,7464524231309610273,negative
7465431589188125462,2025-01-29 20:07:55,Mein Tempolimit wäre bei 160 ,0,0,7464524231309610273,7464524231309610273,positive
7465341667450077974,2025-01-29 14:19:13,1 Eching mit langem E nicht Äching  2 Tempolimit definitiv aber mit 120 machst dir nur Feinde dann kommt wieder mimimi die Grünen wollen uns alles wegnehmen lieber ein realistisches Limit,0,1,7464524231309610273,7464524231309610273,negative
7465339994736149270,2025-01-29 14:12:36,"also Tempolimit find ich auch sinnig aber keine 120
ich würde mich da auf 140 einigen können",0,0,7464524231309610273,7464524231309610273,negative
7464891309326009110,2025-01-28 09:11:58,Wäre ja auch was neues wenn Hr Merz mal verbindlich wäre,1,0,7463418114282097952,7463418114282097952,negative
