id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7456731111285457686,2025-01-06 09:25:30,Mensch ohne Herz  der Merz,3,0,7456726368840092950,7456726368840092950,negative,,[]
7456731985776919318,2025-01-06 09:28:50,Ich hab nur noch den deutschen pass Wenn der mit aberkannt wird habe ich gar keinen mehr ,1,1,7456726368840092950,7456726368840092950,negative,1.0,"['😂', '👍']"
7456803330542928662,2025-01-06 14:05:44,Deswegen ist es jetzt umsomehr wichtig menschenfreundliche demokratischen Handlungen zu machen statt gegen etwas zu sein Wir erschaffen mit jeden Wort Bilder,0,0,7456726368840092950,7456726368840092950,neutral,,[]
7456734171064746774,2025-01-06 09:37:31,Erschreckend wie wenige sich hier mit dem Status ihrer Staatsangehörigkeit beschäftigt haben Im Gegensatz zu deutschen durch Geburt ist jede andere Form durch Erwerb erfolgt entziehbar,0,0,7456726368840092950,7456726368840092950,neutral,,[]
7456732285350888214,2025-01-06 09:30:02,,0,0,7456726368840092950,7456726368840092950,negative,,"['🤑', '🤑', '🤑', '🤑', '🤑', '🤑']"
7456731505797989142,2025-01-06 09:27:05,Warum nicht warum soll,0,0,7456726368840092950,7456726368840092950,negative,,[]
7456729159235420950,2025-01-06 09:17:52,wiedermal aus dem Zusammenhang gerissen,0,0,7456726368840092950,7456726368840092950,neutral,,[]
7458705850715636482,2025-01-11 17:08:49,Bla bla bla Klimawandel da waren ganz andere Mächte am Werk,1,0,7458685276085357846,7458685276085357846,neutral,,[]
7458703147714036502,2025-01-11 16:58:43,Neues Baugebiet um mehr geht es da nicht,1,0,7458685276085357846,7458685276085357846,negative,,[]
7458854740660978437,2025-01-12 02:46:38,Schön Gute Arbeit dir tust Grüße aus Berlin,0,0,7458685276085357846,7458685276085357846,positive,,[]
7458735963512554262,2025-01-11 19:06:09,kehren schon plagen übers Land USA Krankheit Hunger Dürre Wasserknappheit Unzufriedene Bürger Ratten Armut,1,0,7458685276085357846,7458685276085357846,negative,,[]
7458705231641510689,2025-01-11 17:06:12,Der Feuersturm 1944,0,0,7458685276085357846,7458685276085357846,neutral,,[]
7472364000069370646,2025-02-17 12:29:28,,0,0,7464315808714329366,7464315808714329366,negative,1.0,"['💙', '💙', '💙', '💙']"
7464539032028431126,2025-01-27 10:25:29,Niemals grün,0,0,7464315808714329366,7464315808714329366,negative,-1.0,['😡']
7464539201384596246,2025-01-27 10:25:22,Grün ist nur noch peinlich peinlicher gehts nimmer peinlich peinlich peinlich nur noch peinlich sind dieqeg mit denendie müssen weg,0,0,7464315808714329366,7464315808714329366,negative,0.0,"['🤣', '🤣', '😡', '😡', '😡', '💪', '💪', '💪']"
7464538781791503126,2025-01-27 10:24:14,Nie grün,0,0,7464315808714329366,7464315808714329366,negative,,[]
7464466105245172502,2025-01-27 05:43:31,"Die Grünen haben fünf mal versucht Sex mit Kindern legalisieren zu lassen
Was sagen Sie dazu",0,0,7464315808714329366,7464315808714329366,negative,,[]
7464335717156848386,2025-01-26 21:15:35,einer Schlimmer wie der anderewenn man die Grünen nicht schnellstmöglich stoppt sind sie der Sargnagel für Deutschland ,0,0,7464315808714329366,7464315808714329366,negative,-1.0,"['😡', '😡', '😡']"
7464324078426456854,2025-01-26 20:30:04,,0,0,7464315808714329366,7464315808714329366,negative,1.0,"['💚', '💚', '💚', '💚', '💚']"
7464317534402659094,2025-01-26 20:04:50,Feiern die ihr Versagen ,0,0,7464315808714329366,7464315808714329366,negative,,[]
7464317450667590422,2025-01-26 20:04:31,,0,0,7464315808714329366,7464315808714329366,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
7464316262085444374,2025-01-26 19:59:49,"       
 

    
          
               ",0,0,7464315808714329366,7464315808714329366,negative,1.0,"['🇩🇪', '🙏', '🇩🇪', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
7463792354659615510,2025-01-25 10:07:00,Sehr Demokratisch,31,20,7463790385500802326,7463790385500802326,positive,,[]
7464033055171298070,2025-01-26 01:42:39,Weder CDUler noch AfDler aber darf man jetzt keine sinnvollen Anträge mehr bringen nur weil die Gefahr besteht die AfD könnte zustimmen Was ein Quatsch,16,0,7463790385500802326,7463790385500802326,negative,,[]
7463792074820289302,2025-01-25 10:06:02,Genau deswegen fallt ihr in den Umfragen Hättet ihr euch mal Mühe gemacht euch um die Menschen zu kümmern und ihre Sorgen dann hättet ihr war verändern können Aber mit heißer Luft Naja,9,21,7463790385500802326,7463790385500802326,negative,,[]
7466082033335534358,2025-01-31 14:12:30,"Wenn man nackt mit Lichtgeschwindigkeit um einen Baum rennt ist es durchaus möglich dass man sich selber fickt
Das gleiche Resultat erreicht man wenn man die Grünen wählt",8,2,7463790385500802326,7463790385500802326,neutral,,[]
7464608258893628182,2025-01-27 14:53:16,Deswegen ,8,1,7463790385500802326,7463790385500802326,negative,1.0,['💙']
7480932527567799042,2025-03-12 14:39:12,"Angst vor der Offenlegung der Gelder an die NGOs  
Nach dem Motto Angriff ist die beste Verteidigung ",6,0,7463790385500802326,7463790385500802326,neutral,1.0,"['🤣', '🤣', '😂']"
7463793808414245654,2025-01-25 10:12:43,Momentan sind die Grünen die größte Gefahr für Deutschland deswegen würde einen GrünenVerbotsantrag aktuell mehr Sinn machen,4,0,7463790385500802326,7463790385500802326,neutral,,[]
7463792153333564182,2025-01-25 10:06:26,1also nur weil ihr bestimmte Positionen einer Partei nicht teilt verurteilt ihr das die CDU in einer der wichtigsten aktuell herrschenden politischen Frage aich zur afd kehrt weil diese dort eine,4,1,7463790385500802326,7463790385500802326,neutral,,[]
7485647340754387734,2025-03-25 07:35:00,Demokratie dieses Wort wird hier neu erfunden,3,0,7463790385500802326,7463790385500802326,neutral,,[]
7463795654097371926,2025-01-25 10:20:12,So Die Mehrheit will nichts gegen diese Mörder machen Will keine Maßnahmen Zweifelhaft Ihr verkennt völlig dass es nicht um die AfD geht Es geht um die Sicherheit unserer Kinder,3,0,7463790385500802326,7463790385500802326,negative,,[]
7463794804503626518,2025-01-25 10:16:58,Demokratie nicht verstanden,3,3,7463790385500802326,7463790385500802326,negative,,[]
7482657439625593622,2025-03-17 06:12:57,Zutiefst undemokratischWas für ein Verständnis von Demokratie wird hier gelebt Die Demokratie gehört niemandem Entweder ist man Demokrat oder nicht,2,0,7463790385500802326,7463790385500802326,negative,,[]
7482206476360975127,2025-03-16 01:03:10,Man sieht es ihnen immer an,2,1,7463790385500802326,7463790385500802326,neutral,,[]
7479350632631239446,2025-03-08 08:20:42,Wenn ich dieses Bild schon sehe ,2,0,7463790385500802326,7463790385500802326,negative,1.0,"['😂', '😂']"
7464615953008657174,2025-01-27 15:23:06,Endlich Mauern trennen nur das Land,2,0,7463790385500802326,7463790385500802326,neutral,,[]
7464122652975186710,2025-01-26 07:29:18,Peinlich Ihr treibt die Wähler zur AFD Diese Wahl ist die wichtigste Wahl und ihr bekämpft nur die AFD anstatt Pläne zu haben mit konkreten Zahlen und durchdachten Lösungen die jeder Bürger versteht,2,1,7463790385500802326,7463790385500802326,negative,,[]
7463870096449274646,2025-01-25 15:08:42,,2,0,7463790385500802326,7463790385500802326,negative,1.0,"['💙', '😁']"
7463804052523402006,2025-01-25 10:52:28,der Antrag wird auf jeden Fall was bringen,2,0,7463790385500802326,7463790385500802326,neutral,,[]
7494326844329165591,2025-04-17 16:55:54,Die Brandmauer funktioniert nicht Wann merken die Leute das endlich ,1,0,7463790385500802326,7463790385500802326,negative,1.0,['🙈']
7490986989761823510,2025-04-08 16:55:32, grüne bankrottpartei will noch bisschen mitmischen,1,0,7463790385500802326,7463790385500802326,negative,,"['🤣', '🤣', '🤣', '🤣']"
7485983019157734166,2025-03-26 05:17:43,Ihr seit raus und bei der nächsten Wahl weit unter 10 für die Grünenund das ist gut so,1,0,7463790385500802326,7463790385500802326,negative,,"['🤣', '🤣', '🤣']"
7483979142326321942,2025-03-20 19:41:27,Nie wieder ist jetzt Wusstest Du das NSDAP Mitglieder die Grünen mitbegründet haben  Nur noch AfD,1,0,7463790385500802326,7463790385500802326,negative,1.0,"['😂', '😂', '👍🏻', '💙']"
7481554776321180438,2025-03-14 06:53:51,"Am 2203 Bundesweite Demonstration Öffentliche Gruppen  auf Facebook wurden schon gesperrt
Bitte auf Direkte Demokratie de  informieren und beitreten ",1,2,7463790385500802326,7463790385500802326,negative,,[]
7477966353821025046,2025-03-04 14:49:04,"Hoffentlich nie wieder grün oder rot
Sonst hat Deutschland fertig",1,0,7463790385500802326,7463790385500802326,negative,,[]
7473093009636311830,2025-02-19 11:38:35,Die Grünen haben die Hosen voll,1,0,7463790385500802326,7463790385500802326,negative,,[]
7472834995124618006,2025-02-18 18:56:45,Ihr werdet hoffentlich bald Geschichte sein Ihr seid die wahren Faschisten und ihr wisst es,1,0,7463790385500802326,7463790385500802326,negative,,[]
7472209587052151574,2025-02-17 02:32:32,dann sollte es ne Brandmauer für euch auch geben wegen KindeswohlVerletzung,1,0,7463790385500802326,7463790385500802326,neutral,,[]
7471935913724298006,2025-02-16 08:48:07,Die größte Enttäuschung und Entzauberung sind die Grünen Doppelmoral wertemäßige Verwahrlosung und Demokratiefeindlichkeit Macht korrumpiert halt auch die Grünen,1,0,7463790385500802326,7463790385500802326,neutral,,[]
7471703630007386902,2025-02-15 17:46:36,Tja das Fordert mich auf blau zu wählen,1,0,7463790385500802326,7463790385500802326,negative,,[]
7463900735659672342,2025-01-25 17:07:32,Weil ein AfD Verbot keine Lösung ist Die 21 despawnen dann einfach und wählen alle die Grünen,1,0,7463790385500802326,7463790385500802326,negative,,[]
7463812645226693398,2025-01-25 11:25:59,,1,0,7463790385500802326,7463790385500802326,negative,1.0,"['💚', '💚', '💚', '💪']"
